"Country or Area";"Year";"Area";"Sex";"Age";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Poland";"2018";"Total";"Both Sexes";"45";"Estimate - de jure";"Final figure, complete";"2019";"513140";"1"
"Poland";"2018";"Total";"Both Sexes";"45 - 49";"Estimate - de jure";"Final figure, complete";"2019";"2392061";"1"
"Poland";"2018";"Total";"Both Sexes";"46";"Estimate - de jure";"Final figure, complete";"2019";"492350";"1"
"Poland";"2018";"Total";"Both Sexes";"47";"Estimate - de jure";"Final figure, complete";"2019";"476731";"1"
"Poland";"2018";"Total";"Both Sexes";"48";"Estimate - de jure";"Final figure, complete";"2019";"459188";"1"
"Poland";"2018";"Total";"Both Sexes";"49";"Estimate - de jure";"Final figure, complete";"2019";"450652";"1"
"Poland";"2018";"Total";"Both Sexes";"50";"Estimate - de jure";"Final figure, complete";"2019";"445713";"1"
"Poland";"2018";"Total";"Both Sexes";"50 - 54";"Estimate - de jure";"Final figure, complete";"2019";"2277147";"1"
"Poland";"2018";"Total";"Both Sexes";"51";"Estimate - de jure";"Final figure, complete";"2019";"447640";"1"
"Poland";"2018";"Total";"Both Sexes";"52";"Estimate - de jure";"Final figure, complete";"2019";"452008";"1"
"Poland";"2018";"Total";"Both Sexes";"53";"Estimate - de jure";"Final figure, complete";"2019";"461367";"1"
"Poland";"2018";"Total";"Both Sexes";"54";"Estimate - de jure";"Final figure, complete";"2019";"470419";"1"
"Poland";"2018";"Total";"Both Sexes";"55";"Estimate - de jure";"Final figure, complete";"2019";"473669";"1"
"Poland";"2018";"Total";"Both Sexes";"55 - 59";"Estimate - de jure";"Final figure, complete";"2019";"2589297";"1"
"Poland";"2018";"Total";"Both Sexes";"56";"Estimate - de jure";"Final figure, complete";"2019";"489453";"1"
"Poland";"2018";"Total";"Both Sexes";"57";"Estimate - de jure";"Final figure, complete";"2019";"515641";"1"
"Poland";"2018";"Total";"Both Sexes";"58";"Estimate - de jure";"Final figure, complete";"2019";"547136";"1"
"Poland";"2018";"Total";"Both Sexes";"59";"Estimate - de jure";"Final figure, complete";"2019";"563398";"1"
"Poland";"2018";"Total";"Both Sexes";"60";"Estimate - de jure";"Final figure, complete";"2019";"568936";"1"
"Poland";"2018";"Total";"Both Sexes";"60 - 64";"Estimate - de jure";"Final figure, complete";"2019";"2752175";"1"
"Poland";"2018";"Total";"Both Sexes";"61";"Estimate - de jure";"Final figure, complete";"2019";"560479";"1"
"Poland";"2018";"Total";"Both Sexes";"62";"Estimate - de jure";"Final figure, complete";"2019";"561361";"1"
"Poland";"2018";"Total";"Both Sexes";"63";"Estimate - de jure";"Final figure, complete";"2019";"535014";"1"
"Poland";"2018";"Total";"Both Sexes";"64";"Estimate - de jure";"Final figure, complete";"2019";"526385";"1"
"Poland";"2018";"Total";"Both Sexes";"65";"Estimate - de jure";"Final figure, complete";"2019";"511955";"1"
"Poland";"2018";"Total";"Both Sexes";"65 - 69";"Estimate - de jure";"Final figure, complete";"2019";"2343022";"1"
"Poland";"2018";"Total";"Both Sexes";"66";"Estimate - de jure";"Final figure, complete";"2019";"497339";"1"
"Poland";"2018";"Total";"Both Sexes";"67";"Estimate - de jure";"Final figure, complete";"2019";"469131";"1"
"Poland";"2018";"Total";"Both Sexes";"68";"Estimate - de jure";"Final figure, complete";"2019";"441978";"1"
"Poland";"2018";"Total";"Both Sexes";"69";"Estimate - de jure";"Final figure, complete";"2019";"422619";"1"
"Poland";"2018";"Total";"Both Sexes";"70";"Estimate - de jure";"Final figure, complete";"2019";"387300";"1"
"Poland";"2018";"Total";"Both Sexes";"70 - 74";"Estimate - de jure";"Final figure, complete";"2019";"1434021";"1"
"Poland";"2018";"Total";"Both Sexes";"71";"Estimate - de jure";"Final figure, complete";"2019";"345309";"1"
"Poland";"2018";"Total";"Both Sexes";"72";"Estimate - de jure";"Final figure, complete";"2019";"242790";"1"
"Poland";"2018";"Total";"Both Sexes";"73";"Estimate - de jure";"Final figure, complete";"2019";"235475";"1"
"Poland";"2018";"Total";"Both Sexes";"74";"Estimate - de jure";"Final figure, complete";"2019";"223147";"1"
"Poland";"2018";"Total";"Both Sexes";"75";"Estimate - de jure";"Final figure, complete";"2019";"213295";"1"
"Poland";"2018";"Total";"Both Sexes";"75 - 79";"Estimate - de jure";"Final figure, complete";"2019";"1082638";"1"
"Poland";"2018";"Total";"Both Sexes";"76";"Estimate - de jure";"Final figure, complete";"2019";"221226";"1"
"Poland";"2018";"Total";"Both Sexes";"77";"Estimate - de jure";"Final figure, complete";"2019";"223910";"1"
"Poland";"2018";"Total";"Both Sexes";"78";"Estimate - de jure";"Final figure, complete";"2019";"216578";"1"
"Poland";"2018";"Total";"Both Sexes";"79";"Estimate - de jure";"Final figure, complete";"2019";"207629";"1"
"Poland";"2018";"Total";"Both Sexes";"80";"Estimate - de jure";"Final figure, complete";"2019";"199410";"1"
"Poland";"2018";"Total";"Both Sexes";"80 - 84";"Estimate - de jure";"Final figure, complete";"2019";"869716";"1"
"Poland";"2018";"Total";"Both Sexes";"81";"Estimate - de jure";"Final figure, complete";"2019";"190887";"1"
"Poland";"2018";"Total";"Both Sexes";"82";"Estimate - de jure";"Final figure, complete";"2019";"175997";"1"
"Poland";"2018";"Total";"Both Sexes";"83";"Estimate - de jure";"Final figure, complete";"2019";"159483";"1"
"Poland";"2018";"Total";"Both Sexes";"84";"Estimate - de jure";"Final figure, complete";"2019";"143939";"1"
"Poland";"2018";"Total";"Both Sexes";"85";"Estimate - de jure";"Final figure, complete";"2019";"135729";"1"
"Poland";"2018";"Total";"Both Sexes";"85 - 89";"Estimate - de jure";"Final figure, complete";"2019";"533203";"1"
"Poland";"2018";"Total";"Both Sexes";"86";"Estimate - de jure";"Final figure, complete";"2019";"122709";"1"
"Poland";"2018";"Total";"Both Sexes";"87";"Estimate - de jure";"Final figure, complete";"2019";"110123";"1"
"Poland";"2018";"Total";"Both Sexes";"88";"Estimate - de jure";"Final figure, complete";"2019";"90000";"1"
"Poland";"2018";"Total";"Both Sexes";"89";"Estimate - de jure";"Final figure, complete";"2019";"74642";"1"
"Poland";"2018";"Total";"Both Sexes";"90";"Estimate - de jure";"Final figure, complete";"2019";"58046";"1"
"Poland";"2018";"Total";"Both Sexes";"90 - 94";"Estimate - de jure";"Final figure, complete";"2019";"193051";"1"
"Poland";"2018";"Total";"Both Sexes";"91";"Estimate - de jure";"Final figure, complete";"2019";"46831";"1"
"Poland";"2018";"Total";"Both Sexes";"92";"Estimate - de jure";"Final figure, complete";"2019";"39080";"1"
"Poland";"2018";"Total";"Both Sexes";"93";"Estimate - de jure";"Final figure, complete";"2019";"27787";"1"
"Poland";"2018";"Total";"Both Sexes";"94";"Estimate - de jure";"Final figure, complete";"2019";"21307";"1"
"Poland";"2018";"Total";"Both Sexes";"95";"Estimate - de jure";"Final figure, complete";"2019";"15339";"1"
"Poland";"2018";"Total";"Both Sexes";"95 - 99";"Estimate - de jure";"Final figure, complete";"2019";"36425";"1"
"Poland";"2018";"Total";"Both Sexes";"96";"Estimate - de jure";"Final figure, complete";"2019";"9441";"1"
"Poland";"2018";"Total";"Both Sexes";"97";"Estimate - de jure";"Final figure, complete";"2019";"6119";"1"
"Poland";"2018";"Total";"Both Sexes";"98";"Estimate - de jure";"Final figure, complete";"2019";"3722";"1"
"Poland";"2018";"Total";"Both Sexes";"99";"Estimate - de jure";"Final figure, complete";"2019";"1804";"1"
"Poland";"2018";"Total";"Both Sexes";"100 +";"Estimate - de jure";"Final figure, complete";"2019";"5284";"1"
"Poland";"2018";"Total";"Male";"Total";"Estimate - de jure";"Final figure, complete";"2019";"18380299";"1"
"Poland";"2018";"Total";"Male";"0";"Estimate - de jure";"Final figure, complete";"2019";"202398";"1"
"Poland";"2018";"Total";"Male";"0 - 4";"Estimate - de jure";"Final figure, complete";"2019";"974287";"1"
"Poland";"2018";"Total";"Male";"1";"Estimate - de jure";"Final figure, complete";"2019";"197280";"1"
"Poland";"2018";"Total";"Male";"1 - 4";"Estimate - de jure";"Final figure, complete";"2019";"771889";"1"
"Poland";"2018";"Total";"Male";"2";"Estimate - de jure";"Final figure, complete";"2019";"191036";"1"
"Poland";"2018";"Total";"Male";"3";"Estimate - de jure";"Final figure, complete";"2019";"193402";"1"
"Poland";"2018";"Total";"Male";"4";"Estimate - de jure";"Final figure, complete";"2019";"190171";"1"
"Poland";"2018";"Total";"Male";"5";"Estimate - de jure";"Final figure, complete";"2019";"200313";"1"
"Poland";"2018";"Total";"Male";"5 - 9";"Estimate - de jure";"Final figure, complete";"2019";"1050390";"1"
"Poland";"2018";"Total";"Male";"6";"Estimate - de jure";"Final figure, complete";"2019";"200173";"1"
"Poland";"2018";"Total";"Male";"7";"Estimate - de jure";"Final figure, complete";"2019";"212167";"1"
"Poland";"2018";"Total";"Male";"8";"Estimate - de jure";"Final figure, complete";"2019";"219515";"1"
"Poland";"2018";"Total";"Male";"9";"Estimate - de jure";"Final figure, complete";"2019";"218222";"1"
"Poland";"2018";"Total";"Male";"10";"Estimate - de jure";"Final figure, complete";"2019";"204475";"1"
"Poland";"2018";"Total";"Male";"10 - 14";"Estimate - de jure";"Final figure, complete";"2019";"945376";"1"
"Poland";"2018";"Total";"Male";"11";"Estimate - de jure";"Final figure, complete";"2019";"194332";"1"
"Poland";"2018";"Total";"Male";"12";"Estimate - de jure";"Final figure, complete";"2019";"186986";"1"
"Poland";"2018";"Total";"Male";"13";"Estimate - de jure";"Final figure, complete";"2019";"181584";"1"
"Poland";"2018";"Total";"Male";"14";"Estimate - de jure";"Final figure, complete";"2019";"177999";"1"
"Poland";"2018";"Total";"Male";"15";"Estimate - de jure";"Final figure, complete";"2019";"179961";"1"
"Poland";"2018";"Total";"Male";"15 - 19";"Estimate - de jure";"Final figure, complete";"2019";"948612";"1"
"Poland";"2018";"Total";"Male";"16";"Estimate - de jure";"Final figure, complete";"2019";"186346";"1"
"Poland";"2018";"Total";"Male";"17";"Estimate - de jure";"Final figure, complete";"2019";"191321";"1"
"Poland";"2018";"Total";"Male";"18";"Estimate - de jure";"Final figure, complete";"2019";"192746";"1"
"Poland";"2018";"Total";"Male";"19";"Estimate - de jure";"Final figure, complete";"2019";"198238";"1"
"Poland";"2018";"Total";"Male";"20";"Estimate - de jure";"Final figure, complete";"2019";"206036";"1"
"Poland";"2018";"Total";"Male";"20 - 24";"Estimate - de jure";"Final figure, complete";"2019";"1118599";"1"
"Poland";"2018";"Total";"Male";"21";"Estimate - de jure";"Final figure, complete";"2019";"214697";"1"
"Poland";"2018";"Total";"Male";"22";"Estimate - de jure";"Final figure, complete";"2019";"219887";"1"
"Poland";"2018";"Total";"Male";"23";"Estimate - de jure";"Final figure, complete";"2019";"233570";"1"
"Poland";"2018";"Total";"Male";"24";"Estimate - de jure";"Final figure, complete";"2019";"244409";"1"
"Poland";"2018";"Total";"Male";"25";"Estimate - de jure";"Final figure, complete";"2019";"253983";"1"
"Poland";"2018";"Total";"Male";"25 - 29";"Estimate - de jure";"Final figure, complete";"2019";"1358655";"1"
"Poland";"2018";"Total";"Male";"26";"Estimate - de jure";"Final figure, complete";"2019";"269518";"1"
"Poland";"2018";"Total";"Male";"27";"Estimate - de jure";"Final figure, complete";"2019";"275096";"1"
"Poland";"2018";"Total";"Male";"28";"Estimate - de jure";"Final figure, complete";"2019";"276697";"1"
"Poland";"2018";"Total";"Male";"29";"Estimate - de jure";"Final figure, complete";"2019";"283361";"1"
"Poland";"2018";"Total";"Male";"30";"Estimate - de jure";"Final figure, complete";"2019";"288469";"1"
"Poland";"2018";"Total";"Male";"30 - 34";"Estimate - de jure";"Final figure, complete";"2019";"1559745";"1"
"Poland";"2018";"Total";"Male";"31";"Estimate - de jure";"Final figure, complete";"2019";"299031";"1"
"Poland";"2018";"Total";"Male";"32";"Estimate - de jure";"Final figure, complete";"2019";"315321";"1"
"Poland";"2018";"Total";"Male";"33";"Estimate - de jure";"Final figure, complete";"2019";"324623";"1"
"Poland";"2018";"Total";"Male";"34";"Estimate - de jure";"Final figure, complete";"2019";"332301";"1"
"Poland";"2018";"Total";"Male";"35";"Estimate - de jure";"Final figure, complete";"2019";"322041";"1"
"Poland";"2018";"Total";"Male";"35 - 39";"Estimate - de jure";"Final figure, complete";"2019";"1554123";"1"
"Poland";"2018";"Total";"Male";"36";"Estimate - de jure";"Final figure, complete";"2019";"306816";"1"
"Poland";"2018";"Total";"Male";"37";"Estimate - de jure";"Final figure, complete";"2019";"311948";"1"
"Poland";"2018";"Total";"Male";"38";"Estimate - de jure";"Final figure, complete";"2019";"311187";"1"
