Country or Area;Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes;Kolumna1
Austria;2018;Total;Female;45 - 49;Estimate - de jure;Final figure, complete;2018;334155;1;0
Austria;2018;Total;Female;50 - 54;Estimate - de jure;Final figure, complete;2018;356110;1;0
Austria;2018;Total;Female;55 - 59;Estimate - de jure;Final figure, complete;2018;323570;1;0
Austria;2018;Total;Female;60 - 64;Estimate - de jure;Final figure, complete;2018;269912;1;0
Austria;2018;Total;Female;65 - 69;Estimate - de jure;Final figure, complete;2018;236340;1;0
Austria;2018;Total;Female;70 - 74;Estimate - de jure;Final figure, complete;2018;206227;1;0
Austria;2018;Total;Female;75 - 79;Estimate - de jure;Final figure, complete;2018;214392;1;0
Austria;2018;Total;Female;80 - 84;Estimate - de jure;Final figure, complete;2018;125401;1;0
Austria;2018;Total;Female;85 - 89;Estimate - de jure;Final figure, complete;2018;93444;1;0
Austria;2018;Total;Female;90 - 94;Estimate - de jure;Final figure, complete;2018;47416;1;0
Austria;2018;Total;Female;95 - 99;Estimate - de jure;Final figure, complete;2018;11620;1;0
Austria;2018;Total;Female;100 +;Estimate - de jure;Final figure, complete;2018;872;1;0
