Country or Area;Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes
Japan;2018;Total;Female;40 - 44;Estimate - de jure;Final figure, complete;2019;4532000;01.02.2003
Japan;2018;Total;Female;45 - 49;Estimate - de jure;Final figure, complete;2019;4759000;01.02.2003
Japan;2018;Total;Female;50 - 54;Estimate - de jure;Final figure, complete;2019;4123000;01.02.2003
Japan;2018;Total;Female;55 - 59;Estimate - de jure;Final figure, complete;2019;3826000;01.02.2003
Japan;2018;Total;Female;60 - 64;Estimate - de jure;Final figure, complete;2019;3868000;01.02.2003
Japan;2018;Total;Female;65 - 69;Estimate - de jure;Final figure, complete;2019;4901000;01.02.2003
Japan;2018;Total;Female;70 - 74;Estimate - de jure;Final figure, complete;2019;4321000;01.02.2003
Japan;2018;Total;Female;75 - 79;Estimate - de jure;Final figure, complete;2019;3772000;01.02.2003
Japan;2018;Total;Female;80 - 84;Estimate - de jure;Final figure, complete;2019;3160000;01.02.2003
Japan;2018;Total;Female;85 - 89;Estimate - de jure;Final figure, complete;2019;2282000;01.02.2003
Japan;2018;Total;Female;90 - 94;Estimate - de jure;Final figure, complete;2019;1208000;01.02.2003
Japan;2018;Total;Female;95 - 99;Estimate - de jure;Final figure, complete;2019;359000;01.02.2003
Japan;2018;Total;Female;100 +;Estimate - de jure;Final figure, complete;2019;61000;01.02.2003
