Country or Area;Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes
Ireland;2018;Total;Female;55 - 59;Estimate - de facto;Final figure, complete;2019;139980;1
Ireland;2018;Total;Female;60 - 64;Estimate - de facto;Final figure, complete;2019;123288;1
Ireland;2018;Total;Female;65 - 69;Estimate - de facto;Final figure, complete;2019;108286;1
Ireland;2018;Total;Female;70 - 74;Estimate - de facto;Final figure, complete;2019;89250;1
Ireland;2018;Total;Female;75 - 79;Estimate - de facto;Final figure, complete;2019;63461;1
Ireland;2018;Total;Female;80 - 84;Estimate - de facto;Final figure, complete;2019;47549;1
Ireland;2018;Total;Female;85 - 89;Estimate - de facto;Final figure, complete;2019;29218;1
Ireland;2018;Total;Female;90 - 94;Estimate - de facto;Final figure, complete;2019;12998;1
Ireland;2018;Total;Female;95 - 99;Estimate - de facto;Final figure, complete;2019;4152;1
Ireland;2018;Total;Female;100 +;Estimate - de facto;Final figure, complete;2019;647;1
